batch_size,output_size,avg_accuracy,avg_precision,avg_recall,avg_time
150,40,0.553705,0.658008,0.625000,4.354016
150,50,0.805115,0.919233,0.864000,5.019331
150,60,0.760571,0.873103,0.850000,6.360932
150,70,0.670975,0.814710,0.765714,7.105513
150,80,0.427002,0.581227,0.527500,8.109030
175,40,0.458348,0.593528,0.560000,4.234379
175,50,0.495744,0.692952,0.580000,5.092048
175,60,0.558916,0.774743,0.666667,6.532453
175,70,0.181985,0.242227,0.217143,6.773647
175,80,NaN,NaN,NaN,NaN
200,40,0.325552,0.450117,0.435000,4.412097
200,50,0.497384,0.555333,0.548000,5.467366
200,60,0.301073,0.425689,0.386667,6.772061
200,70,0.600074,0.745380,0.642857,7.123685
200,80,0.487752,0.628011,0.565000,7.590612
225,40,0.648853,0.757360,0.735000,4.121801
225,50,0.512324,0.713642,0.576000,5.590486
225,60,0.643827,0.820924,0.713333,6.016994
225,70,0.605091,0.781040,0.682857,6.949114
225,80,0.506711,0.651946,0.600000,7.795098
250,40,0.515524,0.604723,0.585000,4.457525
250,50,0.477111,0.564376,0.528000,5.271431
250,60,0.218506,0.291069,0.273333,6.959668
250,70,0.274697,0.399920,0.334286,7.306936
250,80,0.413338,0.536624,0.452500,7.347397
